Dates,Open,Close,High,Low,Value,Volume,Number Ticks
2021-01-04 09:30:00,3270,3262.8,3272,3260,186865232,57163,115
2021-01-04 12:00:00,3173,3174.25,3179.31,3173,15555758,4898,31
2021-01-05 09:30:00,3166.01,3174.8,3176.55,3165.06,157491760,49732,77
2021-01-05 12:00:00,3198.27,3197,3198.27,3196.17,3491032,1092,9
2021-01-06 09:30:00,3146.48,3146.17,3149.95,3132.1,334129056,106226,249
2021-01-06 12:00:00,3178.5,3179.75,3179.75,3177.56,4036137.5,1270,12
2021-01-07 09:30:00,3157,3162.2,3162.99,3155,184590944,58470,96
2021-01-07 12:00:00,3195.98,3194.78,3197.76,3194.78,4829098,1511,15
2021-01-08 09:30:00,3180,3173.77,3182.67,3172.97,163867968,51513,82
2021-01-08 12:00:00,3157.49,3157.74,3158.08,3156.46,6418919.5,2033,9
2021-01-11 09:30:00,3148.01,3143.11,3152.31,3142.88,220271344,69974,95
2021-01-11 12:00:00,3149.16,3149.62,3150.23,3148.79,4938332,1568,14
2021-01-12 09:30:00,3120,3124,3124,3114.55,182013216,58341,84
2021-01-12 12:00:00,3103.89,3105.25,3105.25,3103.52,11305525,3642,35
2021-01-13 09:30:00,3128.44,3126.25,3130,3124.35,147989424,47310,58
2021-01-13 12:00:00,3179.19,3177.54,3180.13,3177.54,12833548,4037,29
2021-01-14 09:30:00,3167.52,3162,3169,3161.05,147103872,46456,82
2021-01-14 12:00:00,3147.25,3146.9,3147.71,3146.9,3156707,1003,8
2021-01-15 09:30:00,3123.02,3133.61,3134,3121.25,556413376,177991,80
2021-01-15 12:00:00,3107.99,3108.28,3108.28,3107.99,1554042,500,3
2021-01-19 09:30:00,3107,3123.32,3126.27,3104.06,262621968,84428,132
2021-01-19 12:00:00,3117.26,3117.17,3118.19,3117.17,5206519,1670,7
2021-01-20 09:30:00,3181.99,3177.17,3185,3175,295869664,92996,247
2021-01-20 12:00:00,3231.29,3233.77,3234,3231.14,8137254,2517,15
2021-01-21 09:30:00,3293,3293.16,3297.68,3289.57,275399008,83592,235
2021-01-21 12:00:00,3326.18,3325.99,3326.18,3325.56,5015412,1508,12
2021-01-22 09:30:00,3304.31,3293.84,3304.56,3284,173106464,52445,104
2021-01-22 12:00:00,3302.81,3303.66,3303.66,3302.81,3147775,953,7
2021-01-25 09:30:00,3328.5,3335.16,3335.34,3325.77,260991760,78428,113
2021-01-25 12:00:00,3287.85,3291.16,3291.47,3287.8,36471404,11086,31
2021-01-26 09:30:00,3296.36,3296.14,3297.81,3288,164903616,50116,55
2021-01-26 12:00:00,3307.56,3306.14,3308.49,3305.19,7936615.5,2400,23
2021-01-27 09:30:00,3341.49,3320.75,3346.52,3317.16,257479152,77227,148
2021-01-27 12:00:00,3266,3263.94,3266.01,3262.25,8923951,2734,11
2021-01-28 09:30:00,3235.04,3246,3246,3235,191707392,59197,82
2021-01-28 12:00:00,3270.57,3270.46,3271,3269.37,6540375,2000,20
2021-01-29 09:30:00,3230,3221.75,3230,3212,182256256,56545,94
2021-01-29 12:00:00,3212.59,3212.59,3213.91,3212.59,2088720.75,650,6
2021-02-01 09:30:00,3242.36,3248.56,3249,3241.2,196741840,60638,76
2021-02-01 12:00:00,3298.8,3300.48,3300.48,3296.61,13189983,3998,26
