Dates,Open,Close,High,Low,Value,Volume,Number Ticks
2021-02-01 09:30:00,536.79,534.5,538,534.1,45252176,84318,176
2021-02-01 12:00:00,538.84,539.114,539.28,538.84,746027.375,1384,12
2021-02-02 09:30:00,542.01,540.89,542.79,539.954,26642214,49116,77
2021-02-02 12:00:00,554.81,554.45,554.81,554.29,3700376,6673,51
2021-02-03 09:30:00,550.17,549.29,550.48,548.08,31511430,57291,79
2021-02-03 12:00:00,542.68,542.83,543.12,542.51,1528572.125,2816,22
2021-02-04 09:30:00,539.81,542.55,542.69,539.45,32597874,60287,174
2021-02-04 12:00:00,541.35,541.5,541.5,541.19,911728.25,1684,8
2021-02-05 09:30:00,552.26,551.388,553.39,550.95,37384536,67692,134
2021-02-05 12:00:00,549.92,549.66,549.92,549.6,604729.5,1100,9
2021-02-08 09:30:00,555,552.065,555,551.5,30049282,54256,121
2021-02-08 12:00:00,549.07,549.2,549.325,549.07,206498.031,376,3
2021-02-09 09:30:00,546,547.61,548,543,35896508,65740,160
2021-02-09 12:00:00,556.007,555.255,556.007,555.165,1690169.625,3043,17
2021-02-10 09:30:00,562.5,563.16,563.16,561.06,35176208,62554,73
2021-02-10 12:00:00,558.57,557.875,558.57,557.72,879113.75,1575,11
2021-02-11 09:30:00,564.442,565.17,565.93,563.66,22342836,39553,61
2021-02-11 12:00:00,557,556.915,557.04,556.915,556988,1000,8
2021-02-12 09:30:00,556.94,560,560,556.34,27376614,49118,177
2021-02-12 12:00:00,554.62,554.72,554.72,554.476,443632.531,800,5
2021-02-16 09:30:00,557.286,555.935,557.34,555.16,37138352,66671,121
2021-02-16 12:00:00,555.39,555.175,555.5,555.175,1144123.75,2060,17
2021-02-17 09:30:00,550.99,554.352,554.762,550.58,35936488,65194,65
2021-02-17 12:00:00,544.951,545.46,545.65,544.84,1229885,2256,20
2021-02-18 09:30:00,549,549.025,550,548.31,28652500,52183,115
2021-02-18 12:00:00,542.91,542.64,542.91,542.64,396247.313,730,7
2021-02-19 09:30:00,548,547.61,548.99,546.5,70810912,129223,54
2021-02-19 12:00:00,542.08,542.04,542.29,542.04,1632943.625,3012,22
2021-02-22 09:30:00,534.99,535.06,535.66,532.5,30511872,57055,104
2021-02-22 12:00:00,535.295,534.955,535.41,534.955,824223.25,1540,13
2021-02-23 09:30:00,525.003,529.135,530,525,41274452,78363,234
2021-02-23 12:00:00,534.326,534.41,534.62,534,953756.813,1785,17
2021-02-24 09:30:00,539.8,542.59,543.8,539.065,46933992,86820,227
2021-02-24 12:00:00,553.14,553.495,553.53,553.14,2299671.75,4156,32
2021-02-25 09:30:00,550.27,548.18,550.91,548.18,26093440,47422,53
2021-02-25 12:00:00,545.643,545.32,545.643,545.15,4350083.5,7977,72
2021-02-26 09:30:00,546.51,547.94,550,546.5,33119374,60529,97
2021-02-26 12:00:00,549.715,549.61,549.87,549.25,1411784,2569,21
2021-03-01 09:30:00,545.573,544.49,546.21,543,29008720,53180,89
2021-03-01 12:00:00,550.6,551.21,551.26,550.6,906989.188,1646,16
2021-03-02 09:30:00,553.34,551.58,554,551,19545952,35337,55
2021-03-02 12:00:00,549.3,549.32,549.35,548.88,1090633.125,1986,18
2021-03-03 09:30:00,545.93,547.09,547.41,545.05,19248566,35257,28
2021-03-03 12:00:00,530.39,530.24,530.49,530.18,2437209.25,4596,26
2021-03-04 09:30:00,521.5,523.99,523.99,520.16,26039068,49891,107
2021-03-04 12:00:00,527.66,527.87,527.96,527.41,2322185.75,4400,29
2021-03-05 09:30:00,511.98,511.986,513,509.43,22033262,43060,104
2021-03-05 12:00:00,504.895,504.347,504.95,504.347,731856.375,1450,11
2021-03-08 09:30:00,514.46,513.87,515,512.51,22728262,44188,73
2021-03-08 12:00:00,509.075,508.98,509.3,508.59,3167778.5,6224,47
2021-03-09 09:30:00,507.31,506.485,508.14,506.27,44270732,87275,193
2021-03-09 12:00:00,507.235,506.655,507.235,506.655,405540.5,800,8
2021-03-10 09:30:00,513.5,512.75,513.88,511.91,30461856,59316,117
2021-03-10 12:00:00,509.78,509.03,509.79,509.03,900279.5,1767,15
2021-03-11 09:30:00,512.205,512.03,513,511.07,25591082,49927,112
2021-03-11 12:00:00,512.84,512.52,512.88,512.52,1661449.25,3241,29
2021-03-12 09:30:00,512.5,515.94,516.89,512.5,35481324,69040,186
2021-03-12 12:00:00,511.22,510.79,511.36,510.79,922470,1805,12
2021-03-15 09:30:00,516.32,515.813,516.49,515.243,24213746,46905,63
2021-03-15 12:00:00,510.95,511.04,511.21,510.9,441530.438,864,8
2021-03-16 09:30:00,524.47,525.539,526.22,523.21,28622596,54578,166
2021-03-16 12:00:00,531.245,531.66,531.779,531.245,748395.875,1408,13
2021-03-17 09:30:00,522,519.5,522,519.03,25611620,49130,74
2021-03-17 12:00:00,515.82,515.47,515.82,515.27,1443550.375,2800,23
2021-03-18 09:30:00,516.396,514.69,516.92,513.4,53205324,103318,222
2021-03-18 12:00:00,512.5,512.57,512.76,512.46,922662.5,1800,17
2021-03-19 09:30:00,504.96,506.56,508.38,504.96,187503088,371222,141
2021-03-19 12:00:00,508.27,508.52,509,508.27,2475420,4865,19
2021-03-22 09:30:00,509.13,511.9,514.5,509.13,35960632,70389,199
2021-03-22 12:00:00,525.87,525.86,525.87,525.85,210343,400,4
2021-03-23 09:30:00,529.87,532.53,532.76,529.4,47148840,88859,239
2021-03-23 12:00:00,540.177,540.12,540.3,539.94,1565664.375,2899,24
2021-03-24 09:30:00,533.78,530.42,534.42,530.12,37835116,70930,187
2021-03-24 12:00:00,527.22,527.609,527.675,527.22,529076.75,1003,9
2021-03-25 09:30:00,516.99,516.04,517.26,515,38805724,75061,241
2021-03-25 12:00:00,505.96,505.2,506.14,505.08,2553936.5,5050,34
2021-03-26 09:30:00,502.82,504.01,505.25,502.82,26400248,52392,95
2021-03-26 12:00:00,504.18,504.13,504.33,504.13,654512.375,1298,12
2021-03-29 09:30:00,505.66,506.815,507.79,505.66,22591524,44664,58
2021-03-29 12:00:00,510.05,510.135,510.3,509.97,5561021.5,10900,19
2021-03-30 09:30:00,510.505,511.57,512.24,510.505,12475280,24426,48
2021-03-30 12:00:00,509.41,509.11,509.41,509.11,1589810.75,3122,18
2021-03-31 09:30:00,515.675,516.209,516.95,515.44,19293968,37399,67
2021-03-31 12:00:00,527.309,527.235,527.43,527.06,2158387.5,4094,31
2021-04-01 09:30:00,529.93,527.9,530.05,527.83,28803724,54373,137
2021-04-01 12:00:00,532.635,532.14,532.635,532.03,1446301.25,2717,27
2021-04-05 09:30:00,540.01,541.8,541.8,539,33688344,62378,175
2021-04-05 12:00:00,537.8,538.12,538.12,537.8,537913,1000,6
2021-04-06 09:30:00,544.81,547.53,548,544.17,40542952,74347,280
2021-04-06 12:00:00,549.53,549.095,549.57,548.78,2141021,3899,31
2021-04-07 09:30:00,543.5,544.355,544.79,542.87,15453997,28457,54
2021-04-07 12:00:00,548.347,548.78,548.85,548.347,1946692.875,3548,29
2021-04-08 09:30:00,551.13,550.122,551.7,549.72,27997342,50771,91
2021-04-08 12:00:00,550.025,549.46,550.15,549.46,1274538.75,2318,14
2021-04-09 09:30:00,552.69,551.97,552.69,551.03,22400344,40541,81
2021-04-09 12:00:00,552.275,552.37,552.45,552.275,837381.625,1516,15
2021-04-12 09:30:00,551.05,551.87,552.986,551,30622354,55553,78
2021-04-12 12:00:00,552.12,552.18,552.22,551.84,2356029.25,4268,30
2021-04-13 09:30:00,557,555.58,557.51,555.25,26878094,48252,110
2021-04-13 12:00:00,554.08,554.025,554.1,553.94,2016098.625,3639,21
2021-04-14 09:30:00,554.87,553.39,554.87,553,27324810,49278,80
2021-04-14 12:00:00,543.79,543.837,544.06,543.79,897389.5,1650,15
2021-04-15 09:30:00,544.17,543.18,544.17,542.66,20177328,37086,38
2021-04-15 12:00:00,550.174,550.13,550.39,550.13,836368.5,1520,15
2021-04-16 09:30:00,550.54,548.63,551.98,548.28,84300432,152792,136
2021-04-16 12:00:00,544.17,544.2,544.5,544,1161439.5,2134,18
2021-04-19 09:30:00,546.9,551.865,551.92,545.92,40608196,74104,199
2021-04-19 12:00:00,547.37,547.65,547.65,547.36,972897.75,1777,14
2021-04-20 09:30:00,554.42,558.3,563.56,553,106813032,191738,784
2021-04-20 12:00:00,548.535,548.54,548.78,548.45,2191100,3994,33
2021-04-21 09:30:00,508,509.885,511.69,506.09,266812560,524689,2054
2021-04-21 12:00:00,514.66,514.97,515,514.64,21579764,41916,222
2021-04-22 09:30:00,513.82,512.416,513.96,510.56,87621728,170920,346
2021-04-22 12:00:00,501.935,501.49,501.96,501.48,3914138,7802,51
2021-04-23 09:30:00,509.01,508.904,509.7,508.09,31961534,62792,113
2021-04-23 12:00:00,502.859,502.935,503,502.57,10537789,20953,84
2021-04-26 09:30:00,506.76,506.3,506.99,504.805,36755160,72580,143
2021-04-26 12:00:00,507.843,507.605,507.843,507.605,203084.563,400,4
2021-04-27 09:30:00,512.62,511.65,512.99,510.51,34082304,66530,146
2021-04-27 12:00:00,507.71,507.91,507.91,507.69,558571.5,1100,11
2021-04-28 09:30:00,505.2,504.95,506,503.75,35875744,71041,140
2021-04-28 12:00:00,505.73,505.71,505.87,505.5,4904888.5,9702,33
2021-04-29 09:30:00,507.6,506.397,507.6,505.01,36965072,72894,211
2021-04-29 12:00:00,500.249,499.61,500.249,499.53,6656293,13313,60
2021-04-30 09:30:00,505,506.9,507.48,505,24334780,48137,95
2021-04-30 12:00:00,512.47,512.91,512.93,512.4,1350828.25,2635,25
2021-05-03 09:30:00,512.65,512.78,513.14,512.06,36855940,71887,206
2021-05-03 12:00:00,506.8,507.24,507.24,506.59,4297217,8476,73
2021-05-04 09:30:00,510.78,508.095,511.63,507.72,28085018,55178,100
2021-05-04 12:00:00,497.79,498.26,498.43,497.739,1663596.625,3339,15
2021-05-05 09:30:00,504.99,505.528,505.63,504.64,17431406,34515,64
2021-05-05 12:00:00,502.624,502.859,502.859,502.51,1865091.75,3711,21
2021-05-06 09:30:00,495.99,495.13,496.39,494.55,29909612,60337,159
2021-05-06 12:00:00,494.42,494.3,494.42,494.02,1678778,3397,13
2021-05-07 09:30:00,504.62,502.81,505.07,502.61,36390140,72176,231
2021-05-07 12:00:00,506.775,506.3,506.775,506.204,1988653.375,3927,25
2021-05-10 09:30:00,502,502.22,503.15,501.92,25370582,50534,87
2021-05-10 12:00:00,496.78,496.955,496.955,496.76,1198893.5,2413,19
2021-05-11 09:30:00,479.75,480.08,481.36,478.63,61375172,127864,267
2021-05-11 12:00:00,493.97,494.13,494.15,493.89,993435.563,2011,19
2021-05-12 09:30:00,486.83,489.05,489.45,486.14,24794108,50878,139
2021-05-12 12:00:00,486.04,486.374,486.49,486.035,1336278.5,2748,26
2021-05-13 09:30:00,489.13,489.13,489.986,487.51,20901696,42746,106
2021-05-13 12:00:00,486.49,485.915,486.49,485.76,1198464.625,2465,24
2021-05-14 09:30:00,487.86,488.27,489.03,487.2,20318804,41642,117
2021-05-14 12:00:00,492.694,492.29,492.694,492.276,1388476.5,2820,16
2021-05-17 09:30:00,485.59,486.51,487.17,485.4,33319526,68578,178
2021-05-17 12:00:00,486.01,486.02,486.02,485.88,950039.375,1955,13
2021-05-18 09:30:00,488.395,486.8,488.395,486.19,18662278,38223,34
2021-05-18 12:00:00,489.51,489.68,489.73,489.51,467113.125,954,7
2021-05-19 09:30:00,481.625,478.77,481.625,478.77,45809980,95304,280
2021-05-19 12:00:00,485.28,485.185,485.3,485.01,1989249,4100,32
2021-05-20 09:30:00,489.55,490.49,490.5,488.975,20446076,41745,83
2021-05-20 12:00:00,501.995,501.82,501.995,501.75,1555737.5,3100,27
2021-05-21 09:30:00,503.12,503.18,503.18,502.11,52834328,105030,133
2021-05-21 12:00:00,500.71,500.71,500.88,500.71,988564.625,1974,13
2021-05-24 09:30:00,501.05,500.66,501.42,499.51,24123982,48171,81
2021-05-24 12:00:00,503.72,503.91,503.91,503.65,1690731,3356,31
2021-05-25 09:30:00,506,504.71,506.01,504.32,25025382,49483,137
2021-05-25 12:00:00,500.69,500.55,500.69,500.46,1551131.75,3099,20
2021-05-26 09:30:00,502.34,501.3,502.55,501.1,21311674,42431,61
2021-05-26 12:00:00,502.25,502.3,502.42,502.17,569065.875,1133,9
2021-05-27 09:30:00,501.8,501.53,502.02,501.38,15513829,30918,69
2021-05-27 12:00:00,502.24,502.29,502.48,502.24,351655.5,700,7
2021-05-28 09:30:00,504.4,503.07,504.86,503,16044610,31812,60
2021-05-28 12:00:00,509.9,509.88,510,509.87,2061197.25,4042,26
2021-06-01 09:30:00,504.01,502.95,504.49,502.57,33434720,66361,115
2021-06-01 12:00:00,500.29,500.275,500.29,499.875,1352822.375,2705,23
2021-06-02 09:30:00,499.82,499.09,500.07,499.09,20106598.0,40228.0,85.0
2021-06-02 12:00:00,501.03,500.766,501.11,500.766,450896.563,900.0,8.0
2021-06-03 09:30:00,495.19,496.01,496.01,494.32,28880888.0,58322.0,211.0
2021-06-03 12:00:00,489.5,489.39,489.609,489.36,1337827.75,2733.0,17.0
2021-06-04 09:30:00,492.0,491.57,492.45,490.95,14318546.0,29115.0,92.0
2021-06-04 12:00:00,501.67,500.36,501.67,500.305,2468783.75,4929.0,42.0
2021-06-07 09:30:00,492.917,493.78,494.0,492.2,15729280.0,31904.0,63.0
2021-06-07 12:00:00,491.265,491.385,491.41,491.215,3783016.5,7700.0,15.0
2021-06-08 09:30:00,497.0,495.918,497.0,495.05,17293488.0,34824.0,69.0
2021-06-08 12:00:00,490.481,490.34,490.505,490.32,1544312.0,3149.0,19.0
2021-06-09 09:30:00,494.5,494.97,495.04,494.16,19674964.0,39772.0,100.0
2021-06-09 12:00:00,490.54,490.45,490.59,490.287,776358.625,1583.0,15.0
2021-06-10 09:30:00,487.165,484.875,487.165,484.42,24237494.0,49847.0,124.0
2021-06-10 12:00:00,485.86,485.8,485.93,485.69,412957.438,850.0,7.0
2021-06-11 09:30:00,490.0,490.008,490.3,489.23,29670570.0,60558.0,226.0
2021-06-11 12:00:00,489.86,490.04,490.11,489.789,3474993.5,7092.0,47.0
2021-06-14 09:30:00,489.68,488.32,489.99,488.2,13957903.0,28509.0,35.0
2021-06-14 12:00:00,501.98,501.52,501.98,501.52,1691233.75,3371.0,28.0
2021-06-15 09:30:00,501.23,499.42,501.23,499.18,23390566.0,46693.0,91.0
2021-06-15 12:00:00,494.1,494.145,494.2,493.95,1037517.5,2100.0,21.0
2021-06-16 09:30:00,495.0,493.12,495.52,492.71,29379234.0,59391.0,103.0
2021-06-16 12:00:00,490.92,491.13,491.18,490.92,1116152.375,2273.0,11.0
2021-06-17 09:30:00,490.25,491.63,491.63,490.15,19137270.0,39024.0,65.0
2021-06-17 12:00:00,498.45,497.95,498.46,497.892,1342835.25,2696.0,21.0
2021-06-18 09:30:00,496.4,496.715,498.0,495.85,155400720.0,313002.0,188.0
2021-06-18 12:00:00,501.28,501.35,501.413,501.19,374478.219,747.0,7.0
2021-06-21 09:30:00,501.64,500.44,502.05,499.355,35483560.0,70827.0,254.0
2021-06-21 12:00:00,495.19,498.63,498.67,495.15,49240904.0,99121.0,529.0
2021-06-22 09:30:00,498.54,497.5,499.05,497.23,27524976.0,55216.0,125.0
2021-06-22 12:00:00,506.9,507.58,507.58,506.66,3451852.0,6808.0,52.0
2021-06-23 09:30:00,508.48,509.03,509.72,508.2,33372122.0,65614.0,145.0
2021-06-23 12:00:00,513.92,513.835,513.92,513.78,635683.563,1237.0,6.0
2021-06-24 09:30:00,517.96,520.714,520.714,517.243,36234216.0,69861.0,247.0
2021-06-24 12:00:00,517.17,517.07,517.17,517.07,155141.0,300.0,3.0
2021-06-25 09:30:00,528.84,528.2,529.87,526.67,93116528.0,176121.0,541.0
2021-06-25 12:00:00,529.95,529.825,529.95,529.825,158965.5,300.0,3.0
2021-06-28 09:30:00,528.12,530.2,530.8,527.81,31491694.0,59537.0,164.0
2021-06-28 12:00:00,527.714,527.41,527.714,527.38,903031.313,1712.0,15.0
2021-06-29 09:30:00,533.55,531.66,533.94,531.66,31548584.0,59162.0,152.0
2021-06-29 12:00:00,530.38,529.9,530.58,529.86,721108.563,1360.0,13.0
2021-06-30 09:30:00,534.055,532.92,534.055,532.49,23455912.0,43987.0,80.0
2021-06-30 12:00:00,531.535,531.63,531.72,531.46,1127965.5,2122.0,12.0
2021-07-01 09:30:00,525.72,526.46,527.48,525.72,30983512.0,58905.0,105.0
2021-07-01 12:00:00,532.84,532.522,532.84,532.522,745627.188,1400.0,5.0
2021-07-02 09:30:00,535.5,537.24,538.535,535.5,34719672.0,64669.0,181.0
2021-07-02 12:00:00,532.47,532.7,532.72,532.47,663077.375,1245.0,10.0
2021-07-06 09:30:00,533.0,533.45,534.31,533.0,29874204.0,55993.0,137.0
2021-07-06 12:00:00,539.78,539.515,539.78,539.33,929626.688,1723.0,15.0
2021-07-07 09:30:00,544.24,542.51,544.64,542.04,57247276.0,105234.0,295.0
2021-07-07 12:00:00,536.91,536.85,536.97,536.52,633371.063,1180.0,11.0
2021-07-08 09:30:00,530.93,531.74,532.5,530.19,25956082.0,48935.0,76.0
2021-07-08 12:00:00,532.45,532.26,532.45,532.16,266123.0,500.0,5.0
2021-07-09 09:30:00,531.0,530.35,532.475,530.35,24078484.0,45339.0,54.0
2021-07-09 12:00:00,534.99,534.91,535.03,534.725,1355826.875,2535.0,16.0
2021-07-12 09:30:00,540.3,538.32,540.65,537.83,30759938.0,56992.0,95.0
2021-07-12 12:00:00,535.77,535.77,535.77,535.77,53577.0,100.0,1.0
2021-07-13 09:30:00,535.76,536.99,537.51,535.76,13787551.0,25729.0,23.0
2021-07-13 12:00:00,543.29,543.8,543.92,543.29,5653877.0,10400.0,38.0
2021-07-14 09:30:00,541.01,542.49,543.25,541.01,29942326.0,55255.0,53.0
2021-07-14 12:00:00,548.995,549.97,550.119,548.995,4213023.5,7662.0,32.0
2021-07-15 09:30:00,553.97,555.805,556.2,551.86,98242240.0,177284.0,637.0
2021-07-15 12:00:00,539.54,539.07,539.54,538.73,11383807.0,21119.0,125.0
2021-07-16 09:30:00,541.81,543.11,543.73,541.54,47983444.0,88545.0,71.0
2021-07-16 12:00:00,533.735,533.91,534.03,533.735,1281419.5,2400.0,15.0
2021-07-19 09:30:00,526.05,525.03,526.3,523.93,44391076.0,84424.0,201.0
2021-07-19 12:00:00,531.971,531.605,532.06,531.387,2375583.75,4467.0,30.0
2021-07-20 09:30:00,526.07,528.24,528.35,525.0,42793168.0,81231.0,102.0
2021-07-20 12:00:00,531.005,531.32,531.32,530.892,1807769.5,3404.0,19.0
2021-07-21 09:30:00,526.13,529.92,530.99,525.25,98710480.0,187237.0,585.0
2021-07-21 12:00:00,509.252,509.21,509.41,508.9,2912097.5,5720.0,43.0
2021-07-22 09:30:00,510.206,513.25,513.68,510.021,51870296.0,101460.0,200.0
2021-07-22 12:00:00,508.78,509.08,509.21,508.78,2526437.0,4964.0,20.0
2021-07-23 09:30:00,512.16,511.01,513.45,511.01,39663948.0,77445.0,173.0
2021-07-23 12:00:00,512.83,512.66,512.87,512.55,1153629.125,2250.0,17.0
2021-07-26 09:30:00,514.38,512.065,514.81,511.5,33525532.0,65214.0,114.0
2021-07-26 12:00:00,519.77,520.12,520.17,519.77,5492152.5,10562.0,66.0
2021-07-27 09:30:00,518.08,517.89,518.98,516.5,20473004.0,39523.0,47.0
2021-07-27 12:00:00,516.54,516.12,516.54,515.94,2274476.5,4406.0,35.0
2021-07-28 09:30:00,521.82,524.337,524.47,521.22,37674260.0,72116.0,139.0
2021-07-28 12:00:00,520.14,520.1,520.14,520.01,312062.0,600.0,6.0
