Dates,Open,Close,High,Low,Value,Volume,Number Ticks
2021-02-01 09:30:00,14.39,14.3601,14.44,14.3601,253092,17587,5
2021-02-01 12:00:00,14.19,14.19,14.19,14.185,29371.4688,2070,12
2021-02-02 09:30:00,14.54,14.583,14.6,14.53,406162.4063,27923,15
2021-02-02 12:00:00,14.8,14.79,14.805,14.79,31294,2115,15
2021-02-03 09:30:00,14.85,14.85,14.85,14.83,160439.3438,10811,9
2021-02-03 12:00:00,14.87,14.8689,14.87,14.86,20807.7793,1400,3
2021-02-04 09:30:00,14.82,14.8,14.88,14.8,200739.125,13545,13
2021-02-04 12:00:00,15.32,15.315,15.32,15.31,22238.9023,1452,5
2021-02-05 09:30:00,15.5,15.56,15.56,15.49,777593.375,50149,44
2021-02-05 12:00:00,15.52,15.52,15.53,15.52,15413.29,993,7
2021-02-08 09:30:00,15.14,15.12,15.2,15.099,1772921.875,117095,49
2021-02-08 12:00:00,15.215,15.215,15.215,15.215,41369.5859,2719,2
2021-02-09 09:30:00,15.11,15.1053,15.12,15.1,306026.6875,20254,6
2021-02-09 12:00:00,15.2189,15.215,15.2189,15.215,3043.3901,200,2
2021-02-10 09:30:00,15.05,15.037,15.09,15.037,441525.125,29334,11
2021-02-10 12:00:00,15.17,15.155,15.17,15.14,37868.5,2500,16
2021-02-11 09:30:00,15.24,15.211,15.25,15.211,254678.3438,16714,6
2021-02-11 12:00:00,15.1,15.09,15.1,15.09,34978.7969,2317,15
2021-02-12 09:30:00,15.27,15.27,15.27,15.23,210134.0625,13765,19
2021-02-12 12:00:00,15.345,15.345,15.345,15.345,1534.5,100,1
2021-02-16 09:30:00,15.5,15.475,15.5,15.45,558554.5625,36044,10
2021-02-16 12:00:00,15.79,15.785,15.79,15.785,6947.1001,440,4
2021-02-17 09:30:00,15.79,15.745,15.79,15.745,287670.875,18229,9
2021-02-17 12:00:00,15.44,15.45,15.45,15.44,33674.5078,2180,12
2021-02-18 09:30:00,15.45,15.44,15.45,15.42,422760.7813,27364,13
2021-02-18 12:00:00,15.33,15.33,15.33,15.33,4828.9502,315,3
2021-02-19 09:30:00,15.45,15.5828,15.5828,15.45,541095.625,35004,12
2021-02-19 12:00:00,16.13,16.14,16.14,16.13,48540.5664,3009,14
2021-02-22 09:30:00,16.3,16.25,16.3932,16.21,756134.9375,46393,29
2021-02-22 12:00:00,16.49,16.496,16.5,16.49,44955.4219,2725,10
2021-02-23 09:30:00,16.37,16.47,16.47,16.36,517174.25,31574,16
2021-02-23 12:00:00,16.34,16.31,16.34,16.31,3265,200,2
2021-02-24 09:30:00,16.62,16.52,16.62,16.52,467652.8125,28154,11
2021-02-24 12:00:00,16.66,16.6696,16.67,16.66,46626.2813,2798,13
2021-02-25 09:30:00,17,16.99,17,16.98,501166.6875,29482,16
2021-02-25 12:00:00,16.565,16.54,16.565,16.54,51201.0195,3092,13
2021-02-26 09:30:00,16.78,16.685,16.78,16.65,1095786.25,65312,6
2021-02-26 12:00:00,16.67,16.69,16.69,16.65,131602.75,7900,55
2021-03-01 09:30:00,17.03,16.952,17.12,16.952,899466.75,52628,56
2021-03-01 12:00:00,16.86,16.885,16.885,16.86,16807.9805,996,9
2021-03-02 09:30:00,16.47,16.5,16.54,16.45,996337.6875,60480,26
2021-03-02 12:00:00,16.49,16.5,16.5,16.49,6598,400,4
2021-03-03 09:30:00,16.62,16.62,16.68,16.62,304023.125,18290,8
2021-03-03 12:00:00,16.6801,16.6801,16.6801,16.6801,16680.0996,1000,1
2021-03-04 09:30:00,16.3,16.225,16.45,16.15,740856.9375,45595,59
2021-03-04 12:00:00,16.205,16.205,16.205,16.205,3241,200,2
2021-03-05 09:30:00,16.13,16.1654,16.1654,16.01,383919.7188,23799,8
2021-03-05 12:00:00,15.1284,15.1,15.1284,15.1,37249.8242,2466,5
2021-03-08 09:30:00,15.71,15.79,15.79,15.71,389863.25,24813,10
2021-03-08 12:00:00,16.04,16.05,16.05,16.04,10879.9004,678,3
2021-03-09 09:30:00,16.08,16,16.08,16,618483.3125,38492,14
2021-03-09 12:00:00,16.026,16.0308,16.0308,16.026,27362.6563,1707,2
2021-03-10 09:30:00,16.24,16.23,16.2589,16.21,262115.25,16140,8
2021-03-10 12:00:00,16.42,16.4,16.42,16.4,83158.2969,5065,19
2021-03-11 09:30:00,16.45,16.39,16.45,16.39,327342.6875,19905,4
2021-03-11 12:00:00,16.52,16.52,16.52,16.52,8260,500,5
2021-03-12 09:30:00,16.58,16.565,16.6,16.565,276216.4375,16661,5
2021-03-12 12:00:00,16.69,16.69,16.69,16.69,5007,300,3
2021-03-15 09:30:00,16.75,16.725,16.75,16.71,371223.75,22163,3
2021-03-15 12:00:00,16.78,16.779,16.78,16.7711,14697.9141,876,5
2021-03-16 09:30:00,16.9,16.865,16.9,16.85,383176.75,22695,9
2021-03-16 12:00:00,16.755,16.755,16.755,16.7505,41883,2500,6
2021-03-17 09:30:00,16.49,16.43,16.5,16.43,215404.0313,13066,8
2021-03-17 12:00:00,16.61,16.61,16.61,16.61,1661,100,1
2021-03-18 09:30:00,16.9,16.85,16.9,16.85,410235.5313,24277,7
2021-03-18 12:00:00,16.69,16.7,16.7,16.69,5008,300,3
2021-03-19 09:30:00,16.75,16.64,16.75,16.64,7805909,466044,15
2021-03-19 12:00:00,16.705,16.705,16.705,16.705,1670.5,100,1
2021-03-22 09:30:00,16.61,16.43,16.61,16.43,621325.25,37497,57
2021-03-22 12:00:00,16.37,16.375,16.375,16.37,18056.6094,1103,10
2021-03-23 09:30:00,16.3,16.27,16.3,16.25,316921.75,19499,10
2021-03-23 12:00:00,16.22,16.22,16.22,16.22,1621.9999,100,1
2021-03-24 09:30:00,16.16,16.16,16.16,16.16,236857.125,14657,1
2021-03-24 12:00:00,16.4,16.39,16.4,16.39,39677.8008,2420,9
2021-03-25 09:30:00,15.95,15.95,15.95,15.9,615879.875,38618,10
2021-03-25 12:00:00,15.97,15.97,15.97,15.97,1597,100,1
2021-03-26 09:30:00,15.86,15.915,15.93,15.86,100723.2734,6344,49
2021-03-26 12:00:00,15.55,15.5699,15.5699,15.55,6223.98,400,2
2021-03-29 09:30:00,15.54,15.54,15.56,15.4615,1050193.375,67590,30
2021-03-29 12:00:00,15.62,15.62,15.63,15.61,46844.8789,2999,16
2021-03-30 09:30:00,15.74,15.715,15.76,15.65,870900.375,55628,24
2021-03-30 12:00:00,15.68,15.69,15.69,15.68,59210.0625,3774,23
2021-03-31 09:30:00,16.03,16.02,16.08,15.98,847735.5625,53021,42
2021-03-31 12:00:00,15.98,15.98,15.98,15.98,9588,600,6
2021-04-01 09:30:00,16.01,15.93,16.05,15.93,511626.1875,31984,22
2021-04-01 12:00:00,15.86,15.86,15.86,15.86,13163.7998,830,6
2021-04-05 09:30:00,16.2,16.21,16.225,16.16,784826.3125,48456,49
2021-04-05 12:00:00,16.04,16.03,16.04,16.03,26461.002,1650,11
2021-04-06 09:30:00,15.94,16.014,16.05,15.94,360591.75,22615,4
2021-04-06 12:00:00,15.88,15.885,15.885,15.875,19056.5,1200,9
2021-04-07 09:30:00,16.01,15.85,16.01,15.85,462552.1563,29112,28
2021-04-07 12:00:00,15.84,15.84,15.85,15.84,15793.4805,997,6
2021-04-08 09:30:00,15.9,15.9,15.9,15.9,394065.5938,24784,1
2021-04-08 12:00:00,16.045,16.045,16.045,16.045,6418,400,1
2021-04-09 09:30:00,16.04,16.097,16.097,16.04,470139.5625,29310,2
2021-04-09 12:00:00,15.975,15.978,15.978,15.975,7189.5,450,2
2021-04-12 09:30:00,16,16.08,16.08,15.98,715878.5,44717,27
