Dates,Open,Close,High,Low,Value,Volume,Number Ticks
2021-01-11 09:30:00,286.8,284.58,286.8,284.255,18502004,64653,155
2021-01-11 12:00:00,291,291.14,291.14,290.96,1602675,5507,41
2021-01-12 09:30:00,297.14,297.05,297.14,296.405,15122818,50915,85
2021-01-12 12:00:00,301.38,301.51,301.59,301.38,1456203.75,4830,43
2021-01-13 09:30:00,300.08,299.88,300.66,299.325,19688708,65611,106
2021-01-13 12:00:00,300.28,300.19,300.32,300.19,435677.688,1451,11
2021-01-14 09:30:00,304.05,304.43,304.5,303.6,17198360,56558,130
2021-01-14 12:00:00,306.79,306.62,306.79,306.62,782112.313,2550,16
2021-01-15 09:30:00,301.19,301.9,302.1,300.536,59170184,196446,118
2021-01-15 12:00:00,300.41,300.55,300.68,300.372,340202.469,1132,9
2021-01-19 09:30:00,305,303.865,305.48,303.57,41790544,137082,330
2021-01-19 12:00:00,298.38,298.72,298.72,298.37,1223933.75,4100,36
2021-01-20 09:30:00,295.82,295.9,295.95,293.68,48905468,166151,335
2021-01-20 12:00:00,288.78,288.63,288.84,288.57,2358273,8169,53
2021-01-21 09:30:00,290.45,291.81,291.81,290.11,19944148,68635,167
2021-01-21 12:00:00,290.81,290.7,290.88,290.7,1094794.5,3765,16
2021-01-22 09:30:00,286.69,285.862,287.13,285.65,21839394,76258,211
2021-01-22 12:00:00,288.15,288.2,288.24,288.15,576669.688,2001,20
2021-01-25 09:30:00,285.53,285,286.06,283.67,58724136,206131,367
2021-01-25 12:00:00,280.83,280.81,280.97,280.74,2090265.125,7443,44
2021-01-26 09:30:00,283.93,284.59,284.9,283.14,23513800,82697,77
2021-01-26 12:00:00,280.4,280.53,280.55,280.38,513307.313,1830,17
2021-01-27 09:30:00,276,275.13,277.25,275.09,26243262,95046,197
2021-01-27 12:00:00,275.05,275.26,275.26,275,453893.406,1650,14
2021-01-28 09:30:00,274.61,272.65,274.61,272.65,36757264,134036,106
2021-01-28 12:00:00,278.67,278.81,278.81,278.575,1402667.625,5033,39
2021-01-29 09:30:00,274.27,273.28,274.5,272.81,15021999,54953,126
2021-01-29 12:00:00,275.17,274.61,275.2,274.61,1930139,7019,61
2021-02-01 09:30:00,272.66,272.46,273.2,272.25,14906070,54662,110
2021-02-01 12:00:00,274.25,274.38,274.49,274.21,1000580.875,3648,34
2021-02-02 09:30:00,278.32,279.58,279.89,278,36947960,132671,296
2021-02-02 12:00:00,284.43,284.34,284.59,284.23,1366572.5,4805,40
2021-02-03 09:30:00,286.61,286.95,287.4,286.25,26110822,91079,278
2021-02-03 12:00:00,287.98,287.88,288.13,287.88,864037.5,3000,30
2021-02-04 09:30:00,290,290.325,290.47,289.525,30227916,104239,196
2021-02-04 12:00:00,294.58,294.42,294.59,294.41,1257377.125,4270,38
2021-02-05 09:30:00,295,295.225,295.43,295,14545352,49302,43
2021-02-05 12:00:00,293.935,293.73,293.935,293.72,1842471,6271,52
2021-02-08 09:30:00,295,296.37,296.37,294.5,13709479,46432,77
2021-02-08 12:00:00,298.63,298.6,298.63,298.52,850371.063,2848,25
2021-02-09 09:30:00,299.6,298.99,299.6,298.75,11679652,38989,28
2021-02-09 12:00:00,300.37,300.415,300.44,300.37,240324,800,7
2021-02-10 09:30:00,300,301.81,301.81,300,17495194,58293,82
2021-02-10 12:00:00,301.29,301.17,301.29,301.03,408038.5,1355,13
2021-02-11 09:30:00,303.98,304.29,304.75,303.98,12721356,41830,94
2021-02-11 12:00:00,301.9,301.9,301.91,301.84,211309,700,7
2021-02-12 09:30:00,301.99,303.326,303.39,301.77,10577358,35007,36
2021-02-12 12:00:00,303.82,303.81,303.88,303.77,486117.594,1600,13
2021-02-16 09:30:00,310,310.26,310.48,309.47,37804688,121951,95
2021-02-16 12:00:00,310.13,310.07,310.15,309.76,1700860.625,5487,38
2021-02-17 09:30:00,310.03,311.16,311.455,310.01,23605688,76081,195
2021-02-17 12:00:00,310.26,310.415,310.415,310.26,277737.438,895,8
2021-02-18 09:30:00,309.22,310.4,310.4,308.836,22230878,71873,87
2021-02-18 12:00:00,308.76,308.76,308.79,308.63,589975.938,1911,13
2021-02-19 09:30:00,310.23,311.62,312,310.23,29901322,96091,63
2021-02-19 12:00:00,315.41,315.25,315.41,315.22,752032.75,2385,23
2021-02-22 09:30:00,313,314.16,314.49,312.21,17000540,54288,84
2021-02-22 12:00:00,317.1,317.1,317.18,317.065,602543.813,1900,16
2021-02-23 09:30:00,317.98,317.25,318.02,316.98,18262792,57449,77
2021-02-23 12:00:00,317.76,317.62,317.78,317.6,1091194.625,3435,33
2021-02-24 09:30:00,320.17,321.69,321.71,320.095,18735146,58492,90
2021-02-24 12:00:00,327.12,327.4,327.4,327.12,879946.75,2689,23
2021-02-25 09:30:00,333.325,332.28,333.56,332,28763840,86277,144
2021-02-25 12:00:00,330.82,330.5,330.825,330.49,1203366.25,3640,32
2021-02-26 09:30:00,325.77,326.57,326.64,325.26,21377202,65631,117
2021-02-26 12:00:00,322.86,322.55,322.86,322.55,355032,1100,10
2021-03-01 09:30:00,325,325.95,325.95,324.38,21561572,66338,129
2021-03-01 12:00:00,326.58,326.6,326.61,326.51,763828.313,2339,9
2021-03-02 09:30:00,330,330.63,330.71,329.51,13299134,40295,59
2021-03-02 12:00:00,330.27,330.305,330.356,330.22,337873.781,1023,10
2021-03-03 09:30:00,333.68,333.78,333.82,333.32,12624644,37836,51
2021-03-03 12:00:00,337.73,337.537,337.745,337.537,523398.063,1550,10
2021-03-04 09:30:00,333.13,337.38,337.57,333.13,17332680,51940,72
2021-03-04 12:00:00,335.19,335.11,335.27,335.11,672742,2007,18
2021-03-05 09:30:00,335.58,334.1,335.58,333.1,15566919,46453,95
2021-03-05 12:00:00,320.77,320.43,320.77,320.39,1732351.5,5404,43
2021-03-08 09:30:00,331.36,330.59,331.36,330.01,16335467,49313,34
2021-03-08 12:00:00,335.95,336.25,336.349,335.95,627188.75,1866,14
2021-03-09 09:30:00,328.62,328.36,329.49,328.13,28655356,87191,144
2021-03-09 12:00:00,335.69,335.41,335.69,335.3,805181.813,2400,16
2021-03-10 09:30:00,332.07,332.275,332.4,331.53,16955300,51064,128
2021-03-10 12:00:00,338.56,338.79,338.79,338.56,346435.094,1023,9
2021-03-11 09:30:00,338.66,340.45,342,338.66,26434530,77879,162
2021-03-11 12:00:00,344.06,344.11,344.16,344.04,601146.5,1747,16
2021-03-12 09:30:00,345.22,344.1,345.22,343.64,12555766,36395,38
2021-03-12 12:00:00,347.99,347.99,348.199,347.79,1312511.5,3772,34
2021-03-15 09:30:00,349.44,349.509,350,349.23,21376066,61153,99
2021-03-15 12:00:00,342.62,342.595,342.68,342.44,1438797.5,4200,39
2021-03-16 09:30:00,345.28,345,346.9,344.636,15393845,44552,115
2021-03-16 12:00:00,341.66,341.94,342.02,341.66,771185.563,2256,21
2021-03-17 09:30:00,344.62,343.5,345,343.48,13902756,40357,71
2021-03-17 12:00:00,342.87,343.18,343.287,342.77,957137.813,2791,24
2021-03-18 09:30:00,350.75,349.91,350.75,349.33,21712044,61940,121
2021-03-18 12:00:00,356.32,356.285,356.36,356.22,683695.188,1919,15
2021-03-19 09:30:00,346.42,345.89,346.7,345.01,242996992,701477,140
2021-03-19 12:00:00,344.31,344.71,344.79,344.31,199201.625,578,5
2021-03-22 09:30:00,341.06,342.05,342.623,341,18486858,54158,67
2021-03-22 12:00:00,338.61,338.61,338.71,338.59,617329.938,1823,13
2021-03-23 09:30:00,337.62,337.43,337.62,336.95,10294416,30498,48
2021-03-23 12:00:00,338.3,338.17,338.3,338.15,236730.5,700,7
2021-03-24 09:30:00,333.42,332.73,334.02,332.59,18159218,54472,114
2021-03-24 12:00:00,331.89,332.02,332.1,331.88,664708.5,2002,9
2021-03-25 09:30:00,327.35,327.02,327.58,326.55,18698790,57128,100
2021-03-25 12:00:00,326.81,326.755,326.85,326.46,3147093.5,9633,71
2021-03-26 09:30:00,334.51,334.626,335,334,18360634,54894,81
2021-03-26 12:00:00,330.2,330.22,330.35,330.163,681296.188,2063,19
2021-03-29 09:30:00,320.35,319.88,320.99,319.36,46032164,143757,276
2021-03-29 12:00:00,322.712,322.88,322.948,322.7,1533584.375,4750,14
2021-03-30 09:30:00,329.41,330.035,330.28,329.285,14300167,43394,103
2021-03-30 12:00:00,331.29,331.48,331.48,331.29,141173.406,426,4
2021-03-31 09:30:00,330.23,331.46,331.502,330.23,10609291,32112,20
2021-03-31 12:00:00,327.29,327.18,327.29,327.14,684503.375,2092,13
2021-04-01 09:30:00,324.3,326.45,326.85,324.16,18046122,55581,95
2021-04-01 12:00:00,328.405,328.67,328.71,328.356,419919.406,1278,12
2021-04-05 09:30:00,332.85,331.83,332.85,331.64,15605314,46928,69
2021-04-05 12:00:00,325.15,324.86,325.15,324.74,564757.875,1738,15
2021-04-06 09:30:00,324.49,325.2,325.374,324,14554344,44851,71
2021-04-06 12:00:00,326.07,326.26,326.28,326.07,424066,1300,13
2021-04-07 09:30:00,327.7,327.19,327.7,327.06,9508002,29019,38
2021-04-07 12:00:00,324.77,324.76,324.8,324.73,1027875.938,3165,24
2021-04-08 09:30:00,324.29,324.6,324.89,324.04,14597383,45013,32
2021-04-08 12:00:00,326.775,326.75,326.88,326.68,372177.563,1139,10
2021-04-09 09:30:00,334,334.06,334.49,333.39,18993516,56869,105
2021-04-09 12:00:00,330.695,330.78,330.94,330.695,454894.938,1375,9
2021-04-12 09:30:00,332.67,332.6,332.67,331.8,16111735,48441,43
2021-04-12 12:00:00,332.78,332.75,332.79,332.69,368002.031,1106,10
2021-04-13 09:30:00,329.51,329.676,330.05,329.32,17075128,51816,45
2021-04-13 12:00:00,328.36,328.26,328.36,328.25,229804,700,7
2021-04-14 09:30:00,328.55,328.76,329.375,326.15,43828436,133633,329
2021-04-14 12:00:00,342.885,342.69,342.95,342.352,6086389,17768,74
2021-04-15 09:30:00,338.9,339.87,340.39,338.3,37738384,111296,273
2021-04-15 12:00:00,338.59,338.67,338.7,338.53,2423075.5,7155,55
2021-04-16 09:30:00,340.29,340.8,341.6,340,65311280,191894,146
2021-04-16 12:00:00,339.68,339.93,339.93,339.67,517228.625,1522,13
2021-04-19 09:30:00,340,339.543,341.9,339.36,19099554,56152,98
2021-04-19 12:00:00,341.539,341.551,341.83,341.14,3045669,8919,64
2021-04-20 09:30:00,339.97,339.68,340.08,339.39,13287322,39090,78
2021-04-20 12:00:00,334.28,334.35,334.35,334.24,1074079,3213,8
2021-04-21 09:30:00,330,329.11,330.48,328.45,14485936,43913,109
2021-04-21 12:00:00,331.82,331.87,331.87,331.82,1128232,3400,17
2021-04-22 09:30:00,334.62,334.35,335.5,333,13953115,41713,104
2021-04-22 12:00:00,335.79,335.842,335.842,335.735,134320.719,400,4
2021-04-23 09:30:00,331.25,331.89,331.89,331.25,8437897,25470,28
2021-04-23 12:00:00,337.76,337.64,337.76,337.64,135092,400,4
2021-04-26 09:30:00,341.94,341.75,342.18,340.89,13918514,40707,41
2021-04-26 12:00:00,345.088,345.19,345.19,345.02,969918.375,2811,9
2021-04-27 09:30:00,344,344.57,344.75,343.83,12459496,36213,44
2021-04-27 12:00:00,345.165,345.245,345.25,345.08,2233223.75,6470,60
2021-04-28 09:30:00,348,348.567,348.567,347.5,14511838,41692,56
2021-04-28 12:00:00,348.925,348.83,348.925,348.8,538634.375,1544,13
2021-04-29 09:30:00,350.55,351,351,350.3,16614576,47388,107
2021-04-29 12:00:00,349.96,349.599,349.96,349.361,1933459.5,5532,33
2021-04-30 09:30:00,351.12,351.11,351.245,350.76,11479487,32695,18
2021-04-30 12:00:00,348.79,348.75,348.79,348.65,898309.438,2576,20
2021-05-03 09:30:00,350.34,350.55,350.985,350.21,12649932,36056,55
2021-05-03 12:00:00,351.68,351.88,351.89,351.605,471373.313,1340,13
2021-05-04 09:30:00,348.9,348.71,349.16,348.46,14321622,41048,30
2021-05-04 12:00:00,345.09,345.2,345.2,344.95,541705.688,1570,15
2021-05-05 09:30:00,352,351.865,352.12,351.2,16946072,48150,61
2021-05-05 12:00:00,356.08,355.97,356.08,355.87,909532.563,2555,17
2021-05-06 09:30:00,359.77,359.74,360,359.04,26801356,74486,118
2021-05-06 12:00:00,361.495,361.57,361.6,361.495,244410,676,6
2021-05-07 09:30:00,362.3,363.323,363.73,362.151,28258308,77949,195
2021-05-07 12:00:00,368,367.851,368,367.81,809324.75,2200,14
2021-05-10 09:30:00,373.5,374.36,374.47,373.01,23945142,64091,137
2021-05-10 12:00:00,372.84,372.84,372.889,372.79,633823.875,1700,10
2021-05-11 09:30:00,363,362.35,363.41,361.95,40533240,111698,341
2021-05-11 12:00:00,361.805,361.63,362.02,361.63,525428,1452,14
2021-05-12 09:30:00,363.07,362.94,363.3,362.78,17845534.0,49153.0,31.0
2021-05-12 12:00:00,359.5,359.47,359.65,359.41,406590.0,1131.0,7.0
2021-05-13 09:30:00,353.25,353.98,354.04,353.25,13196466.0,37347.0,45.0
2021-05-13 12:00:00,356.4,356.54,356.56,356.38,784256.125,2200.0,17.0
2021-05-14 09:30:00,362.0,362.88,362.92,361.7,22669854.0,62614.0,71.0
2021-05-14 12:00:00,366.69,366.795,366.795,366.68,619756.5,1690.0,15.0
2021-05-17 09:30:00,367.78,368.345,368.65,367.78,16307451.0,44337.0,11.0
2021-05-17 12:00:00,367.63,367.42,367.63,367.42,80857.602,220.0,2.0
2021-05-18 09:30:00,371.38,372.88,372.88,371.38,17786706.0,47869.0,88.0
2021-05-18 12:00:00,367.25,367.23,367.25,366.93,1900240.875,5177.0,29.0
2021-05-19 09:30:00,360.0,357.57,360.0,357.56,21596420.0,60031.0,101.0
2021-05-19 12:00:00,356.31,356.1,356.31,355.99,1288683.875,3619.0,22.0
2021-05-20 09:30:00,358.98,359.0,359.57,358.51,11671659.0,32511.0,45.0
2021-05-20 12:00:00,360.3,359.845,360.3,359.845,2398367.25,6660.0,21.0
2021-05-21 09:30:00,361.49,361.95,361.95,361.49,22588632.0,62487.0,5.0
2021-05-21 12:00:00,365.8,365.866,365.866,365.71,378965.281,1036.0,10.0
2021-05-24 09:30:00,367.32,367.13,367.87,367.13,10212889.0,27803.0,22.0
2021-05-24 12:00:00,366.68,366.71,366.76,366.57,607518.875,1657.0,12.0
2021-05-25 09:30:00,369.912,370.0,370.52,369.0,12725970.0,34392.0,79.0
2021-05-25 12:00:00,368.67,368.68,368.73,368.67,433957.313,1177.0,10.0
2021-05-26 09:30:00,365.0,364.79,365.715,364.75,15743441.0,43128.0,59.0
2021-05-26 12:00:00,368.04,368.29,368.29,367.98,782286.938,2125.0,20.0
2021-05-27 09:30:00,371.33,372.73,372.81,371.33,18547302.0,49919.0,85.0
2021-05-27 12:00:00,368.93,368.81,368.93,368.81,531865.188,1442.0,7.0
2021-05-28 09:30:00,372.0,371.24,372.37,370.7,16843620.0,45308.0,106.0
2021-05-28 12:00:00,370.89,370.88,370.89,370.82,345657.156,932.0,9.0
2021-06-01 09:30:00,377.7,378.595,378.595,376.89,32759478.0,86747.0,220.0
2021-06-01 12:00:00,383.108,383.14,383.14,382.87,12214757.0,31898.0,31.0
2021-06-02 09:30:00,383.33,383.17,384.39,383.17,25679200.0,66920.0,208.0
2021-06-02 12:00:00,381.945,381.62,381.945,381.59,1245522.0,3263.0,28.0
2021-06-07 09:30:00,393.0,392.48,393.26,392.48,14713790.0,37444.0,47.0
2021-06-07 12:00:00,389.43,389.46,389.46,389.389,620331.25,1593.0,7.0
2021-06-08 09:30:00,385.79,385.45,386.19,385.09,12366633.0,32060.0,55.0
2021-06-08 12:00:00,386.21,386.005,386.25,386.005,2275299.25,5891.0,24.0
2021-06-09 09:30:00,383.16,382.42,383.63,382.0,15967808.0,41680.0,53.0
2021-06-09 12:00:00,383.25,383.25,383.25,383.25,38325.0,100.0,1.0
2021-06-10 09:30:00,389.64,387.83,389.64,386.82,25596884.0,65807.0,215.0
2021-06-10 12:00:00,383.48,383.42,383.505,383.42,356645.688,930.0,6.0
