Dates,Open,Close,High,Low,Value,Volume,Number Ticks
2021-01-11 09:30:00,64.95,63.3301,65,63.15,431308768,6692676,9706
2021-01-11 12:00:00,63.85,63.85,63.93,63.79,24045610,376477,1234
2021-01-12 09:30:00,61.42,62.18,62.25,61.14,218687552,3549640,4290
2021-01-12 12:00:00,63.9665,63.895,64.02,63.86,19357738,302690,816
2021-01-13 09:30:00,62.94,63.3601,63.66,62.8,145591600,2305224,3074
2021-01-13 12:00:00,62.2578,62.07,62.34,62.06,28533570,458608,1174
2021-01-14 09:30:00,62.63,63.01,63.04,62.5,75385768,1202626,1535
2021-01-14 12:00:00,60.48,60.31,60.5,60.31,9965164,164951,483
2021-01-15 09:30:00,59.84,59.96,60,59.1,118746344,1990724,3095
2021-01-15 12:00:00,57.03,57.0799,57.148,57.02,8535814,149520,431
2021-01-19 09:30:00,58.21,58.185,58.42,57.75,178817632,3073193,2209
2021-01-19 12:00:00,56.84,56.94,56.94,56.825,6624301.5,116421,333
2021-01-20 09:30:00,59.85,59.99,60.09,59.5,120390336,2011344,2190
2021-01-20 12:00:00,57.215,57.3,57.35,57.215,8262342.5,144232,392
2021-01-21 09:30:00,57.02,57.43,57.43,57,51146120,895637,1088
2021-01-21 12:00:00,57.652,57.6457,57.7,57.63,6166149,106937,249
2021-01-22 09:30:00,58.95,59.0235,59.07,58.48,113725080,1930299,2039
2021-01-22 12:00:00,61.2699,61.1932,61.27,61.19,3926358,64129,201
2021-01-25 09:30:00,64.05,63.66,64.15,63.56,167915984,2626298,2358
2021-01-25 12:00:00,60.8269,60.82,60.85,60.6431,10250651,168699,475
2021-01-26 09:30:00,60.04,60.1501,60.18,59.74,92710248,1548781,1221
2021-01-26 12:00:00,58.69,58.9,58.93,58.69,11185887,190186,605
2021-01-27 09:30:00,57.95,58.15,58.38,57.95,5872395.5,100854,432
2021-01-27 12:00:00,58.301,58.23,58.4,58.23,7636688.5,130935,576
2021-01-28 09:30:00,56.76,56.91,57.07,56.28,62044044,1097183,843
2021-01-28 12:00:00,58.44,58.38,58.45,58.32,4968372,85110,372
2021-01-29 09:30:00,59.03,59.73,59.74,58.95,51924904,878040,1253
2021-01-29 12:00:00,58.87,58.9999,59.01,58.8613,5594996,94916,395
2021-02-01 09:30:00,59.07,58.84,59.12,58.3199,78661352,1334593,1757
2021-02-01 12:00:00,56.0998,56.0601,56.15,56.05,7593645.5,135363,469
2021-02-02 09:30:00,57.06,57,57.54,57,17074406,299082,627
2021-02-02 12:00:00,56.105,56.085,56.11,55.95,6877664,122728,440
2021-02-03 09:30:00,55.96,55.68,56.0997,55.68,56123776,1004299,1288
2021-02-03 12:00:00,58.1922,58.0785,58.1985,58.01,11501603,198028,717
2021-02-04 09:30:00,58.79,58.87,58.95,58.53,43427272,739359,932
2021-02-04 12:00:00,57.57,57.61,57.62,57.54,2529015.25,43915,142
2021-02-05 09:30:00,57.74,57.8895,57.98,57.5158,29670008,513941,552
2021-02-05 12:00:00,56.7599,56.72,56.78,56.705,4328151.5,76294,228
2021-02-08 09:30:00,57.08,56.97,57.2,56.86,57447136,1007067,954
2021-02-08 12:00:00,58.9785,58.89,58.9899,58.85,4701715.5,79819,249
2021-02-09 09:30:00,58.95,58.898,59.21,58.88,47253076,801145,847
2021-02-09 12:00:00,61.405,61.395,61.45,61.3801,5622560,91545,344
2021-02-10 09:30:00,62.55,62.23,62.65,62.19,79003536,1264655,1571
2021-02-10 12:00:00,62.19,62.15,62.2471,62.04,9362336,150683,447
2021-02-11 09:30:00,61.69,61.82,61.93,61.57,23568056,381870,604
2021-02-11 12:00:00,61.77,61.871,61.88,61.77,4821714,78008,224
2021-02-12 09:30:00,60.26,60.1,60.39,59.905,46708636,775529,942
2021-02-12 12:00:00,60.7754,60.7499,60.785,60.7298,3871945.75,63719,175
2021-02-16 09:30:00,60.4,60.4282,60.49,60.15,61789336,1024620,1158
2021-02-16 12:00:00,59.72,59.6002,59.74,59.56,18891316,316789,871
2021-02-17 09:30:00,57.92,57.87,58,57.79,2683267.75,46349,303
2021-02-17 12:00:00,56.55,56.58,56.62,56.53,7310374.5,129197,502
2021-02-18 09:30:00,55.45,55.39,55.69,55.17,71114592,1282618,1982
2021-02-18 12:00:00,54.92,54.83,54.95,54.82,2409100.25,43886,167
2021-02-19 09:30:00,55.72,55.67,55.75,55.2,38088156,684977,984
2021-02-19 12:00:00,55.0145,54.9207,55.0402,54.88,13289955,241714,801
2021-02-22 09:30:00,54.18,54.26,54.37,53.91,58376188,1079049,1379
2021-02-22 12:00:00,52.18,52.2633,52.27,52.18,3432433.25,65699,288
2021-02-23 09:30:00,45.62,46.18,46.19,45.51,13704957,299474,1460
2021-02-23 12:00:00,46.645,46.46,46.65,46.43,9240966,198693,619
2021-02-24 09:30:00,49.31,49.34,49.43,49.135,4391384.5,89114,289
2021-02-24 12:00:00,51.23,51.3999,51.42,51.23,10323166,201038,519
2021-02-25 09:30:00,51.6,51.7099,51.85,51.6,2194630.5,42419,247
2021-02-25 12:00:00,48.735,48.7,48.79,48.62,7897872.5,162152,492
2021-02-26 09:30:00,47,47.185,47.29,47,37535652,798120,434
2021-02-26 12:00:00,47.54,47.5399,47.59,47.49,5196350,109282,347
2021-03-01 09:30:00,48.55,48.56,48.73,48.43,3327211.5,68546,428
2021-03-01 12:00:00,49.48,49.57,49.5901,49.46,13023170,263031,620
2021-03-02 09:30:00,46.11,45.76,46.35,45.67,128393856,2797331,4205
2021-03-02 12:00:00,44.79,44.75,44.81,44.66,9562468,213864,746
2021-03-03 09:30:00,44.58,44.625,44.67,44.5,65248936,1462149,1863
2021-03-03 12:00:00,43.0162,43.063,43.07,43,10070518,234094,606
2021-03-04 09:30:00,40.49,40.8033,40.924,40.4,76942176,1893077,2144
2021-03-04 12:00:00,40.8,40.81,40.92,40.79,6738813,164983,460
2021-03-05 09:30:00,39.24,39.2,39.35,38.89,87836288,2239555,2102
2021-03-05 12:00:00,34.64,34.39,34.6822,34.39,15684591,454114,1239
2021-03-08 09:30:00,36.97,36.9806,37.22,36.92,3732903.25,100759,536
2021-03-08 12:00:00,36.62,36.7507,36.788,36.55,10349904,282393,837
2021-03-09 09:30:00,37.48,37.56,37.88,37.42,66856712,1774827,2574
2021-03-09 12:00:00,40.95,40.815,40.96,40.7701,8269407,202402,544
2021-03-10 09:30:00,43.5,43.72,43.74,43.45,71619328,1642307,1163
2021-03-10 12:00:00,42.18,42.07,42.22,42.063,6414439.5,152118,496
2021-03-11 09:30:00,44.4365,44.295,44.74,44.24,6020466,135250,785
2021-03-11 12:00:00,43.915,43.7899,43.917,43.76,17258706,393764,1209
2021-03-12 09:30:00,43.51,43.43,43.51,43.34,4404492,101487,463
2021-03-12 12:00:00,45.1916,45.24,45.2586,45.19,9402623,207891,609
2021-03-15 09:30:00,45.55,45.62,45.71,45.47,29596234,650018,604
2021-03-15 12:00:00,44.78,44.835,44.87,44.7,6862691,153220,512
2021-03-16 09:30:00,45.04,45.01,45.06,44.93,1377802.125,30624,159
2021-03-16 12:00:00,45.25,45.2301,45.27,45.16,10374312,229536,690
2021-03-17 09:30:00,41.9,41.87,41.99,41.8,3767705.5,89875,372
2021-03-17 12:00:00,42.0384,42.0801,42.11,42.0314,4074648,96858,363
2021-03-18 09:30:00,43.3,43.44,43.46,43.25,998764.125,23019,161
2021-03-18 12:00:00,43.39,43.395,43.45,43.3501,3264049,75220,299
2021-03-19 09:30:00,41.44,41.18,41.5,41.05,34235440,828081,1496
2021-03-19 12:00:00,42.39,42.505,42.5193,42.39,7386032,173865,480
2021-03-22 09:30:00,44.07,44.25,44.3,43.98,2426529,55040,347
2021-03-22 12:00:00,43.17,43.2101,43.23,43.11,7197505,166708,569
2021-03-23 09:30:00,42.58,42.42,42.59,42.33,15990914,376479,681
2021-03-23 12:00:00,41.62,41.665,41.68,41.61,4141023.25,99430,352
2021-03-24 09:30:00,41.2,41.06,41.29,40.93,25938780,631483,757
2021-03-24 12:00:00,38.065,38.11,38.17,38.03,14740450,386699,1388
2021-03-25 09:30:00,35.24,35.93,35.95,35.12,68495288,1929107,2602
2021-03-25 12:00:00,38.055,38.0699,38.09,37.98,12048606,316604,963
2021-03-26 09:30:00,35.65,36.05,36.0891,35.52,94946240,2654080,3946
2021-03-26 12:00:00,35.07,35.05,35.12,35.01,10737422,306208,1199
2021-03-29 09:30:00,35.26,35.8499,35.8499,35.26,34680576,977725,1565
2021-03-29 12:00:00,35.1,35.189,35.22,35.09,3669753.75,104342,292
2021-03-30 09:30:00,35.2,35.4601,35.5101,35.17,18559984,525762,972
2021-03-30 12:00:00,37.28,37.3284,37.3499,37.22,11450379,307034,848
2021-03-31 09:30:00,38.96,38.6216,38.99,38.56,41010876,1056901,1863
2021-03-31 12:00:00,37.615,37.625,37.64,37.51,13895878,369891,1244
2021-04-01 09:30:00,41.56,41.2899,41.5999,41.19,73697920,1779164,2780
2021-04-01 12:00:00,39.98,39.9899,39.99,39.87,11899167,298043,850
2021-04-05 09:30:00,40.54,40.35,40.6,40.28,35244920,870803,1139
2021-04-05 12:00:00,39.19,39.34,39.35,39.185,9002259,229129,690
2021-04-06 09:30:00,38.83,38.75,38.87,38.57,28936476,746398,1323
2021-04-06 12:00:00,40.1799,40.165,40.1799,40.14,3202752.75,79752,213
2021-04-07 09:30:00,39.7,39.78,39.85,39.6,19407540,489177,658
2021-04-07 12:00:00,37.995,38.07,38.07,37.98,6446074,169492,583
2021-04-08 09:30:00,37.62,37.53,37.67,37.47,3017096.25,80406,378
2021-04-08 12:00:00,39.1301,39.0909,39.1809,39.08,6857144,175270,548
