Dates,Open,Close,High,Low,Value,Volume,Number Ticks
2021-01-04 09:30:00,524.17,519.15,524.201,518.578,86173176,164812,389
2021-01-04 12:00:00,529.09,528.96,530.3,528.89,17758530,33535,117
2021-01-05 09:30:00,523.99,524.05,525.25,523.48,47493044,90604,199
2021-01-05 12:00:00,532.45,532.42,532.6,532.15,3908235.5,7341,33
2021-01-06 09:30:00,528.9,528.862,529.8,526.5,71795768,135649,249
2021-01-06 12:00:00,522.97,522.74,523.271,522.597,15285651,29229,37
2021-01-07 09:30:00,518.7,517.205,519,515.46,129438744,249751,617
2021-01-07 12:00:00,527.85,528.82,528.82,527.85,7108771.5,13456,70
2021-01-08 09:30:00,534.5,535.594,536.84,534.06,74092440,138577,225
2021-01-08 12:00:00,527.13,526.871,527.245,526.797,2066654.875,3922,21
2021-01-11 09:30:00,536.75,535.52,537.01,534.5,86930064,162097,380
2021-01-11 12:00:00,549.86,550.04,550.08,549.688,3938054.25,7161,43
2021-01-12 09:30:00,550.1,547.15,550.18,546.25,78691720,143263,334
2021-01-12 12:00:00,541.12,541.14,541.6,540.83,4149998.5,7668,48
2021-01-13 09:30:00,539.599,540.87,543.07,538.99,77474920,143486,285
2021-01-13 12:00:00,540.88,540.3,540.88,540.04,1471111.625,2722,26
2021-01-14 09:30:00,543,541.39,543.99,540.04,60447652,111391,182
2021-01-14 12:00:00,534.5,535.44,535.44,534.5,4002319.75,7480,58
2021-01-15 09:30:00,529.12,531.883,532.52,528.765,180061664,340059,359
2021-01-15 12:00:00,519.71,519.76,519.96,519.6,1560435.125,3002,21
2021-01-19 09:30:00,520.65,521,521.3,519.94,79550864,152789,167
2021-01-19 12:00:00,515.07,515.2,515.29,515,4320933,8389,22
2021-01-20 09:30:00,524.47,522.622,525.91,522.27,60043344,114475,203
2021-01-20 12:00:00,531,531.18,531.41,530.9,8168117.5,15380,69
2021-01-21 09:30:00,536.744,534.65,536.97,534.5,60327160,112475,200
2021-01-21 12:00:00,544.77,544.671,544.77,544.54,2870268.5,5270,24
2021-01-22 09:30:00,549.604,549.48,550.3,549.025,63034640,114637,286
2021-01-22 12:00:00,549.2,549.51,549.59,549.2,1640098,2985,21
2021-01-25 09:30:00,551.27,551,553.05,551,71323672,129314,183
2021-01-25 12:00:00,540.99,541.22,541.3,540.84,2795816,5167,39
2021-01-26 09:30:00,543.218,545.21,545.5,542,56602820,104203,132
2021-01-26 12:00:00,538.345,538.58,538.664,538.15,2602754,4835,37
2021-01-27 09:30:00,529.2,525.57,529.31,525.21,88896024,168143,250
2021-01-27 12:00:00,517.71,517.47,517.87,517.47,2901641,5605,45
2021-01-28 09:30:00,519.85,520.063,521.59,519.351,72752920,139930,182
2021-01-28 12:00:00,526.12,526.22,526.54,525.79,4720421.5,8970,77
2021-01-29 09:30:00,523,522.015,523.998,521.41,46713076,89340,188
2021-01-29 12:00:00,524.23,524.32,524.57,524.1,2318686,4422,35
2021-02-01 09:30:00,522.133,524.415,524.6,521.24,63458904,121451,262
2021-02-01 12:00:00,525.27,525.95,526.13,525.27,3705937.25,7048,51
2021-02-02 09:30:00,535.95,536,536.41,534.55,42996172,80241,174
2021-02-02 12:00:00,537.18,537.36,537.36,537.09,1677162.625,3122,21
2021-02-03 09:30:00,545.44,545.393,546.154,544.728,64265936,117726,201
2021-02-03 12:00:00,544.9,545.648,545.648,544.9,1988679.125,3647,23
2021-02-04 09:30:00,541.24,545.56,546.66,540.89,55340576,102046,297
2021-02-04 12:00:00,540.66,540.905,540.92,540.655,2349144.25,4344,32
2021-02-05 09:30:00,549,547.24,549.49,547.24,48625468,88605,161
2021-02-05 12:00:00,543.89,544.03,544.03,543.61,1614228.625,2968,26
2021-02-08 09:30:00,549.089,552.01,552.368,549.089,67670176,122952,265
2021-02-08 12:00:00,571.21,570.53,571.25,570.04,6624274,11607,77
2021-02-09 09:30:00,573.625,575.5,575.51,573,105744200,184105,414
2021-02-09 12:00:00,576.49,576.025,576.49,576.025,3431966,5956,31
2021-02-10 09:30:00,578.53,580.35,580.89,577.978,100490120,173450,272
2021-02-10 12:00:00,588.487,586.66,588.487,586.02,19082292,32498,177
2021-02-11 09:30:00,599.21,601.93,602,598.02,124928472,208207,714
2021-02-11 12:00:00,608.1,607.397,608.1,607.15,6123410,10078,74
2021-02-12 09:30:00,602,604.88,605.76,600.5,90578856,150432,266
2021-02-12 12:00:00,608.92,609.805,609.805,608.92,7832855,12856,54
2021-02-16 09:30:00,602.57,601.26,603,600.91,116661728,193661,216
2021-02-16 12:00:00,602.14,602.1,602.14,601.631,4034147,6702,49
2021-02-17 09:30:00,606.84,607.5,608.941,603.39,83877320,138266,248
2021-02-17 12:00:00,594.69,595.113,595.37,594.41,4541530,7634,58
2021-02-18 09:30:00,589.16,587.15,589.16,585,97917544,166484,338
2021-02-18 12:00:00,585.84,585.27,585.9,585.18,2025835,3460,30
2021-02-19 09:30:00,600.98,604.17,604.17,600.12,163684608,272430,356
2021-02-19 12:00:00,604.71,604.3,604.875,604.2,2577505.25,4263,19
2021-02-22 09:30:00,590.99,591.61,591.8,590.4,70367616,119059,239
2021-02-22 12:00:00,591.3,591.04,591.3,590.902,1730197.875,2927,21
2021-02-23 09:30:00,563.01,559.43,564,557.51,103404992,183984,456
2021-02-23 12:00:00,552.01,551.6,552.03,551.27,6480161.5,11747,95
2021-02-24 09:30:00,564.91,565,565.68,563.05,67965656,120334,183
2021-02-24 12:00:00,561.99,563.4,563.52,561.99,3014211.25,5355,24
2021-02-25 09:30:00,561.817,564.26,565.01,561.018,149832784,266172,888
2021-02-25 12:00:00,548.948,547.12,548.948,546.99,12034616,21972,126
2021-02-26 09:30:00,550.1,549.1,552.38,549,148930016,270258,465
2021-02-26 12:00:00,547.62,547.03,547.9,546.62,3284064.5,6000,31
2021-03-01 09:30:00,555,555.01,557,554.41,94331880,169891,281
2021-03-01 12:00:00,550.94,550.58,550.94,550.55,2784754.75,5057,37
2021-03-02 09:30:00,556,554.11,556.82,553.53,53800084,96733,177
2021-03-02 12:00:00,544.39,544.66,544.66,543.58,3965929.25,7290,46
2021-03-03 09:30:00,537.05,536.55,538.06,535.7,66366204,123435,223
2021-03-03 12:00:00,522.09,521.87,522.31,521.5,4904870,9397,55
2021-03-04 09:30:00,512.03,516.94,518.48,511.2,92202384,179867,321
2021-03-04 12:00:00,509.3,509.07,509.85,509.07,3706306.25,7276,49
2021-03-05 09:30:00,502,498.06,502,498.06,73020192,145616,240
2021-03-05 12:00:00,478.9,477.767,479.085,477.767,10568224,22079,125
2021-03-08 09:30:00,498,495.34,498.85,495.18,88169744,176976,241
2021-03-08 12:00:00,478.41,477.9,478.64,477.26,26492724,55428,326
2021-03-09 09:30:00,485.21,485,488,482.37,135372112,279622,789
2021-03-09 12:00:00,498.27,497.235,498.68,497,8484193,17034,99
2021-03-10 09:30:00,513.62,509.08,513.71,509.06,130821536,255257,668
2021-03-10 12:00:00,508.08,507.4,508.1,507.4,2020853.75,3979,32
2021-03-11 09:30:00,518,514.97,518.43,513.263,78531752,151767,289
2021-03-11 12:00:00,517.801,517.015,517.98,516.91,4290460,8292,62
2021-03-12 09:30:00,505.93,506.109,506.5,504.26,92076872,182021,334
2021-03-12 12:00:00,511.55,511.65,512.26,511.55,1627704.625,3180,20
2021-03-15 09:30:00,514.59,514.385,515.08,514.06,36792968,71501,82
2021-03-15 12:00:00,520.54,520.565,520.86,520.33,833976.563,1602,15
2021-03-16 09:30:00,534.26,533.84,535.95,533.02,57707996,107818,171
2021-03-16 12:00:00,536.14,536.09,536.14,535.755,3950320.75,7371,34
2021-03-17 09:30:00,521.59,523.54,524.319,521.56,41087712,78652,184
2021-03-17 12:00:00,521.27,521.325,521.49,521.1,2299389,4411,39
2021-03-18 09:30:00,525.46,526.44,526.65,524.63,48592808,92595,132
2021-03-18 12:00:00,520.68,520.498,520.68,520.13,1499539.875,2881,14
2021-03-19 09:30:00,510,514.4,514.4,509.6,261584240,511732,134
2021-03-19 12:00:00,512.95,513.46,513.55,512.86,2015648.375,3928,34
2021-03-22 09:30:00,516.51,519.04,519.46,516.27,56637108,109587,168
2021-03-22 12:00:00,530.09,530.67,531,530.08,7860288.5,14816,76
2021-03-23 09:30:00,530.17,531.29,532.92,529.855,63170352,119036,264
2021-03-23 12:00:00,528.83,529.07,529.07,528.71,1778882.125,3364,16
2021-03-24 09:30:00,526.05,523.35,526.365,523.33,37768424,71830,98
2021-03-24 12:00:00,518.245,518.69,518.925,518.245,1216771.75,2346,19
2021-03-25 09:30:00,499.98,497.63,500.06,495.71,65504744,131248,343
2021-03-25 12:00:00,498.95,498.82,499.16,498.33,4673096,9369,70
2021-03-26 09:30:00,502.18,501.29,502.91,500.629,31108670,61954,92
2021-03-26 12:00:00,501,500.53,501.58,500.52,12483532,24909,92
