Dates,Open,Close,High,Low,Value,Volume,Number Ticks
2021-01-04 09:30:00,719.46,717.68,721.49,717.19,529887552,736210,1186
2021-01-04 12:00:00,731,730.64,732.634,730.64,35036744,47894,233
2021-01-05 09:30:00,723.66,725.305,726.48,721.19,338168128,467177,1044
2021-01-05 12:00:00,737.493,737.1,737.5,736.93,9687522,13142,81
2021-01-06 09:30:00,758.49,759.74,760.59,755.54,546714496,721027,1523
2021-01-06 12:00:00,771.35,772.15,772.3,771.35,82958320,107481,523
2021-01-07 09:30:00,777.63,776.66,779.99,776.03,364931648,468957,1017
2021-01-07 12:00:00,798.285,799.454,800,798.285,71403400,89346,365
2021-01-08 09:30:00,856,851.502,856.42,848.72,931083776,1090064,2788
2021-01-08 12:00:00,873.95,873.79,874.18,872.41,70888896,81181,385
2021-01-11 09:30:00,849.4,843.775,849.97,836.89,979286976,1156964,2689
2021-01-11 12:00:00,838.166,841.98,842,837.989,84525432,100570,497
2021-01-12 09:30:00,831,835.28,835.43,827.34,479575040,576934,1129
2021-01-12 12:00:00,860.15,861.309,861.41,860.11,67595040,78527,361
2021-01-13 09:30:00,852.76,856.584,859.119,852,386320096,451936,1101
2021-01-13 12:00:00,838.1,836.885,838.573,836.75,34793276,41545,212
2021-01-14 09:30:00,843.39,845.799,847.67,843.14,318905632,377658,782
2021-01-14 12:00:00,853.12,852.68,853.12,852.387,15970624,18729,107
2021-01-15 09:30:00,852,855.8,855.8,849,473385536,556154,1009
2021-01-15 12:00:00,839.67,839.46,840.14,839.22,10727745,12775,82
2021-01-19 09:30:00,837.8,838.665,840,835.5,394593248,471030,763
2021-01-19 12:00:00,839.025,839.503,839.72,838.74,15735601,18749,87
2021-01-20 09:30:00,858.74,858.45,859.5,856.65,299403104,348706,974
2021-01-20 12:00:00,848.86,849.15,849.657,848.51,31513134,37106,177
2021-01-21 09:30:00,855,853.685,855.72,853,249472448,291892,649
2021-01-21 12:00:00,847.6,847.865,848.01,847.07,15218049,17951,112
2021-01-22 09:30:00,834.31,837.06,838,833.3,202848512,242848,597
2021-01-22 12:00:00,837.15,836.89,837.23,836.53,12416936,14838,86
2021-01-25 09:30:00,855,855.838,857.34,854.2,308489216,360545,523
2021-01-25 12:00:00,872.32,873.551,874,872,47477096,54390,264
2021-01-26 09:30:00,891.38,889,892.87,886.4,308193056,346075,913
2021-01-26 12:00:00,882.32,884.185,884.5,882,40279776,45585,215
2021-01-27 09:30:00,870.35,871.13,874,869.524,266656704,306291,489
2021-01-27 12:00:00,876.09,874.92,876.41,874.5,46362988,52975,255
2021-01-28 09:30:00,820,810,820,801,659090752,807837,1954
2021-01-28 12:00:00,838.78,837.85,839.38,837.52,16982956,20259,130
2021-01-29 09:30:00,830,839,839.5,827.63,269075392,324007,687
2021-01-29 12:00:00,818.66,819.054,819.72,818.45,12469996,15221,95
2021-02-01 09:30:00,814.29,813.56,814.29,808.5,412361280,507342,1015
2021-02-01 12:00:00,827,826.8,827.51,826.57,19909316,24075,118
2021-02-02 09:30:00,844.68,845.56,845.95,842.7,241615776,285804,512
2021-02-02 12:00:00,878.28,878.845,878.99,877.255,19708500,22446,127
2021-02-03 09:30:00,877.02,875.141,878.08,873.8,186179456,212255,425
2021-02-03 12:00:00,866.581,866.5,867.02,866,23192492,26762,152
2021-02-04 09:30:00,855,853.08,856.5,852,158762720,185743,439
2021-02-04 12:00:00,842.185,841.77,842.326,841.33,7882674,9365,49
2021-02-05 09:30:00,845,846.4,847.99,844.951,158402336,187302,282
2021-02-05 12:00:00,859.35,859.875,860.118,858.88,25398560,29543,145
2021-02-08 09:30:00,869.67,869.705,871.69,866.14,248539888,285872,869
2021-02-08 12:00:00,864.37,864.19,864.58,863.9,6453302.5,7466,48
2021-02-09 09:30:00,855.12,857,858.74,855.12,188719568,220440,491
2021-02-09 12:00:00,850.04,849.74,850.51,849.442,13740247,16164,102
2021-02-10 09:30:00,843.635,843.555,844.82,840.5,220985248,262162,791
2021-02-10 12:00:00,809.31,807.806,809.82,807.2,53767104,66522,348
2021-02-11 09:30:00,812.44,813.434,814.79,809.9,232265808,285930,697
2021-02-11 12:00:00,811.015,812.5,812.5,810.87,14491064,17848,103
2021-02-12 09:30:00,801.26,795,801.54,794,290388736,363520,1361
2021-02-12 12:00:00,803.6,803.47,803.68,802.95,4861248,6052,47
2021-02-16 09:30:00,818,817.8,819.21,816.18,258195904,315673,465
2021-02-16 12:00:00,796.086,796.09,797.1,795.9,39672808,49826,205
2021-02-17 09:30:00,779.09,770.711,779.8,768,461713664,595445,1755
2021-02-17 12:00:00,773.95,774.54,774.87,773.38,20074058,25924,140
2021-02-18 09:30:00,780.9,784.18,784.685,780.022,198299568,253673,600
2021-02-18 12:00:00,787.53,787.72,787.87,787.32,8529645,10830,43
2021-02-19 09:30:00,795,794.64,795,791.45,283919392,357428,472
2021-02-19 12:00:00,787.71,787.322,787.796,787.25,24903806,31621,197
2021-02-22 09:30:00,762.64,761.15,762.77,758,320620448,421451,902
2021-02-22 12:00:00,745.77,745.119,746,745.119,11531428,15467,83
2021-02-23 09:30:00,662.13,669.338,672,657.77,909405120,1370931,4164
2021-02-23 12:00:00,678.31,676.67,678.5,676.01,47271464,69839,316
2021-02-24 09:30:00,711.85,713.24,713.5,705.97,408489536,574838,1549
2021-02-24 12:00:00,727.87,728.405,729.05,727.87,17658812,24235,149
2021-02-25 09:30:00,726.15,722.65,726.25,721.53,221286256,305333,599
2021-02-25 12:00:00,701.34,699.79,701.609,698.775,128292792,183283,904
2021-02-26 09:30:00,700,700.75,701.23,695.5,293001856,418861,1118
2021-02-26 12:00:00,689.4,689.27,690.041,688.3,19039852,27617,151
2021-03-01 09:30:00,690.11,691.32,694.8,689.65,224842608,325473,560
2021-03-01 12:00:00,711.76,713.28,713.28,711.68,11000358,15436,97
2021-03-02 09:30:00,718.28,719.174,721.11,716.02,171478800,238672,520
2021-03-02 12:00:00,702.61,701.72,702.72,701,23812198,33935,163
2021-03-03 09:30:00,687.99,690.159,691,687.25,151294144,219774,474
2021-03-03 12:00:00,682.4,682.37,683.06,681.94,19388488,28413,153
2021-03-04 09:30:00,655.8,658.61,659.142,653.61,278575424,425607,918
2021-03-04 12:00:00,636.405,636.2,637.16,635.74,41812700,65698,224
2021-03-05 09:30:00,626.06,623.34,627.842,621.69,312345696,499466,1004
2021-03-05 12:00:00,568.795,566.62,569.49,565.5,125425528,220971,870
2021-03-08 09:30:00,600.55,598.752,603.64,598.752,337072352,561100,1210
2021-03-08 12:00:00,581.25,581.823,582.44,580.66,47516220,81674,295
2021-03-09 09:30:00,608.18,606.878,612.41,606.46,486113472,797914,2247
2021-03-09 12:00:00,642.48,640.401,642.99,640.2,27780632,43280,236
2021-03-10 09:30:00,700.3,702.6,705.021,699.24,509877856,727096,1856
