Dates,Open,Close,High,Low,Value,Volume,Number Ticks
2021-02-01 09:30:00,14.54,14.53,14.55,14.53,309008.9063,21252,37
2021-02-01 12:00:00,14.615,14.62,14.63,14.6118,157349.7969,10763,30
2021-02-02 09:30:00,14.74,14.72,14.76,14.72,917861.375,62214,55
2021-02-02 12:00:00,14.82,14.82,14.82,14.82,7810.1401,527,2
2021-02-03 09:30:00,14.8,14.84,14.84,14.8,771331.375,52040,57
2021-02-03 12:00:00,14.875,14.875,14.875,14.875,5950,400,4
2021-02-04 09:30:00,14.83,14.86,14.86,14.8299,1061549.375,71524,71
2021-02-04 12:00:00,14.946,14.945,14.9485,14.945,15649.0176,1047,3
2021-02-05 09:30:00,15.03,15.01,15.03,15.005,556708.25,37043,7
2021-02-05 12:00:00,14.9446,14.945,14.945,14.9446,25481.1836,1705,7
2021-02-08 09:30:00,15.09,15.09,15.11,15.08,837145.375,55482,77
2021-02-08 12:00:00,15.175,15.17,15.175,15.17,6069,400,4
2021-02-09 09:30:00,15.31,15.3116,15.32,15.31,665256.125,43449,44
2021-02-09 12:00:00,15.28,15.28,15.285,15.28,12790.1045,837,3
2021-02-10 09:30:00,15.51,15.53,15.53,15.49,1411450.5,91051,101
2021-02-10 12:00:00,15.43,15.42,15.43,15.42,208148.7969,13490,10
2021-02-11 09:30:00,15.34,15.35,15.36,15.32,3642477,237343,474
2021-02-11 12:00:00,15.3,15.3,15.3,15.3,9180,600,1
2021-02-12 09:30:00,15.29,15.29,15.3,15.28,345955.6563,22629,22
2021-02-12 12:00:00,15.3785,15.37,15.38,15.37,12807.041,833,3
2021-02-16 09:30:00,15.68,15.7,15.7,15.68,1751743.25,111697,78
2021-02-16 12:00:00,15.84,15.85,15.85,15.84,39610,2500,3
2021-02-17 09:30:00,15.68,15.68,15.69,15.6501,1250729.25,79766,51
2021-02-17 12:00:00,15.51,15.51,15.51,15.505,110100.1328,7099,28
2021-02-18 09:30:00,15.48,15.49,15.49,15.4761,448877.4688,28996,32
2021-02-18 12:00:00,15.28,15.2865,15.2865,15.28,17071.2773,1117,4
2021-02-19 09:30:00,15.57,15.57,15.57,15.55,443286.7813,28477,29
2021-02-19 12:00:00,15.5366,15.54,15.54,15.5366,11902.7363,766,4
2021-02-22 09:30:00,15.53,15.51,15.53,15.505,525304.3125,33828,42
2021-02-22 12:00:00,15.79,15.7878,15.79,15.78,16035.4199,1016,6
2021-02-23 09:30:00,15.6,15.57,15.61,15.5629,1151650,73830,96
2021-02-23 12:00:00,15.64,15.63,15.64,15.63,10900.0801,697,3
2021-02-24 09:30:00,15.76,15.76,15.76,15.75,675880.625,42909,55
2021-02-24 12:00:00,15.93,15.935,15.935,15.93,11151.5,700,4
2021-02-25 09:30:00,16.09,16.085,16.11,16.07,1215603.5,75489,63
2021-02-25 12:00:00,15.955,15.95,15.955,15.94,111268.875,6976,24
2021-02-26 09:30:00,15.73,15.71,15.73,15.69,1009470.5,64271,100
2021-02-26 12:00:00,15.57,15.57,15.58,15.57,21799,1400,10
2021-03-01 09:30:00,15.71,15.73,15.73,15.71,1127371.75,71713,35
2021-03-01 12:00:00,15.72,15.725,15.725,15.72,49990.1016,3180,11
2021-03-02 09:30:00,15.93,15.95,15.95,15.92,1246720.125,78270,51
2021-03-02 12:00:00,15.9,15.89,15.9,15.89,230160,14480,46
2021-03-03 09:30:00,15.71,15.77,15.78,15.69,6790164.5,432405,223
2021-03-03 12:00:00,15.92,15.922,15.925,15.92,6368.7002,400,4
2021-03-04 09:30:00,15.64,15.65,15.66,15.62,2380133.25,152064,149
2021-03-04 12:00:00,15.595,15.605,15.605,15.595,967371.5,62030,16
2021-03-05 09:30:00,15.63,15.63,15.65,15.615,2550777.75,163201,30
2021-03-05 12:00:00,15.45,15.45,15.455,15.445,31903.25,2065,15
2021-03-08 09:30:00,15.77,15.76,15.78,15.75,182029.5625,11545,42
2021-03-08 12:00:00,15.765,15.775,15.78,15.765,193850.9688,12292,36
2021-03-09 09:30:00,15.55,15.53,15.55,15.52,2796575.25,179943,203
2021-03-09 12:00:00,15.685,15.68,15.69,15.68,557191.875,35526,96
2021-03-10 09:30:00,15.69,15.66,15.69,15.66,688830.6875,43917,23
2021-03-10 12:00:00,15.5304,15.535,15.535,15.5304,10624.6338,684,2
2021-03-11 09:30:00,15.4,15.415,15.44,15.4,1467338.75,95207,106
2021-03-11 12:00:00,15.489,15.489,15.489,15.489,10842.2998,700,1
2021-03-12 09:30:00,15.49,15.51,15.51,15.47,1132268.125,73063,52
2021-03-12 12:00:00,15.485,15.48,15.485,15.48,163765.6094,10576,4
2021-03-15 09:30:00,15.37,15.4015,15.415,15.37,406739.2813,26451,16
2021-03-15 12:00:00,15.22,15.24,15.24,15.22,50280.2305,3301,13
2021-03-16 09:30:00,15.59,15.58,15.595,15.55,1704852.25,109519,144
2021-03-16 12:00:00,15.45,15.45,15.45,15.445,15077.6992,976,5
2021-03-17 09:30:00,15.51,15.51,15.51,15.49,1068779.75,68919,98
2021-03-17 12:00:00,15.67,15.68,15.68,15.67,9407,600,4
2021-03-18 09:30:00,16.03,16.04,16.04,16.01,1902619.875,118717,101
2021-03-18 12:00:00,16.28,16.265,16.28,16.26,392167.8438,24097,35
2021-03-19 09:30:00,15.9,15.88,15.91,15.88,1641322.25,103242,84
2021-03-19 12:00:00,15.92,15.94,15.94,15.92,56995.0391,3578,18
2021-03-22 09:30:00,15.96,15.97,15.98,15.955,781821.375,48981,46
2021-03-22 12:00:00,16.02,16.025,16.025,16.01,106218.4844,6631,23
2021-03-23 09:30:00,15.93,15.93,15.935,15.915,894583.8125,56160,18
2021-03-23 12:00:00,15.91,15.91,15.91,15.905,84305.5938,5299,9
2021-03-24 09:30:00,15.75,15.785,15.79,15.745,1335497.5,84719,130
2021-03-24 12:00:00,15.91,15.91,15.91,15.9049,75008.5,4715,14
2021-03-25 09:30:00,15.83,15.82,15.84,15.81,521679.625,32946,33
2021-03-25 12:00:00,15.9336,15.935,15.945,15.93,138460.4844,8687,31
2021-03-26 09:30:00,16.08,16.11,16.11,16.08,1482971.75,92138,136
2021-03-26 12:00:00,16.11,16.105,16.11,16.105,3221.5,200,2
2021-03-29 09:30:00,15.51,15.495,15.51,15.47,1463552.875,94449,123
2021-03-29 12:00:00,15.545,15.55,15.56,15.545,219064.5,14086,40
2021-03-30 09:30:00,15.53,15.54,15.55,15.52,1046898.125,67364,85
2021-03-30 12:00:00,15.58,15.585,15.585,15.58,6233.5,400,3
2021-03-31 09:30:00,15.58,15.605,15.605,15.56,1449061,93065,77
2021-03-31 12:00:00,15.535,15.535,15.535,15.535,10890.0352,701,3
2021-04-01 09:30:00,15.73,15.73,15.74,15.72,1734397.5,110267,142
2021-04-01 12:00:00,15.78,15.78,15.785,15.78,29166.9551,1848,7
2021-04-05 09:30:00,15.99,16,16.02,15.98,1070078.125,66914,38
2021-04-05 12:00:00,16.05,16.0499,16.055,16.04,193578.5313,12061,22
2021-04-06 09:30:00,16.11,16.12,16.125,16.11,1091329.875,67740,29
2021-04-06 12:00:00,16.135,16.14,16.14,16.13,120062.6016,7440,30
2021-04-07 09:30:00,16.11,16.11,16.11,16.095,1329634,82544,82
2021-04-07 12:00:00,16.06,16.055,16.06,16.055,22703.7695,1414,6
2021-04-08 09:30:00,16.04,16.03,16.06,16.02,980480.375,61080,68
2021-04-08 12:00:00,16.16,16.16,16.16,16.15,32318.5,2000,11
2021-04-09 09:30:00,16.08,16.11,16.11,16.07,875657.125,54391,58
2021-04-09 12:00:00,16.125,16.125,16.125,16.125,1612.5,100,1
2021-04-12 09:30:00,16.09,16.09,16.1,16.06,1365997.375,84879,81
2021-04-12 12:00:00,16.1824,16.18,16.19,16.18,315565.4375,19502,11
2021-04-13 09:30:00,15.67,15.6399,15.67,15.623,1418115.125,90575,52
2021-04-13 12:00:00,15.605,15.61,15.61,15.605,24193.25,1550,9
2021-04-14 09:30:00,15.7,15.69,15.71,15.68,755813.4375,48120,22
2021-04-14 12:00:00,15.9,15.895,15.9,15.895,17326.7773,1090,4
2021-04-15 09:30:00,15.91,15.895,15.91,15.895,552942.9375,34756,3
2021-04-15 12:00:00,15.86,15.86,15.86,15.86,1586,100,1
2021-04-16 09:30:00,15.96,15.98,15.99,15.96,604671.3125,37884,18
2021-04-16 12:00:00,16.095,16.105,16.105,16.095,137008.7969,8510,9
2021-04-19 09:30:00,16.03,16.05,16.056,16.03,712927.4375,44440,42
2021-04-19 12:00:00,15.9552,15.96,15.96,15.9552,12764.6406,800,2
2021-04-20 09:30:00,15.79,15.765,15.79,15.765,605137.6875,38337,46
2021-04-20 12:00:00,15.6,15.6,15.6,15.6,1560,100,1
2021-04-21 09:30:00,15.2,15.19,15.2,15.17,1311039.125,86294,117
2021-04-21 12:00:00,15.4,15.398,15.4,15.39,7066.3101,459,4
2021-04-22 09:30:00,15.24,15.22,15.24,15.22,917955.8125,60256,42
2021-04-22 12:00:00,15.245,15.245,15.245,15.245,19818.5,1300,2
2021-04-23 09:30:00,15.13,15.1,15.13,15.095,1183500,78241,74
2021-04-23 12:00:00,15.251,15.251,15.251,15.251,1525.1001,100,1
2021-04-26 09:30:00,15.41,15.41,15.41,15.38,448781.125,29132,40
2021-04-26 12:00:00,15.43,15.435,15.435,15.43,10801.5,700,5
2021-04-27 09:30:00,15.1,15.0901,15.12,15.08,1365769,90448,132
2021-04-27 12:00:00,15.155,15.16,15.16,15.155,37139.3828,2450,19
2021-04-28 09:30:00,15.38,15.375,15.38,15.37,2594191.5,168681,79
2021-04-28 12:00:00,15.47,15.46,15.47,15.46,61779.8828,3996,28
2021-04-29 09:30:00,15.56,15.5775,15.58,15.56,1273576.5,81763,51
2021-04-29 12:00:00,15.575,15.575,15.58,15.575,43618,2800,17
2021-04-30 09:30:00,15.47,15.41,15.47,15.41,707242.125,45741,34
2021-04-30 12:00:00,15.2843,15.285,15.285,15.2843,3439.0376,225,2
2021-05-03 09:30:00,15.41,15.43,15.43,15.41,494664.3438,32090,20
2021-05-03 12:00:00,15.38,15.38,15.3867,15.38,21704.4121,1411,6
2021-05-04 09:30:00,15.15,15.16,15.18,15.15,1434941.625,94591,95
2021-05-04 12:00:00,14.9799,14.99,14.995,14.9799,200985.8594,13412,32
2021-05-05 09:30:00,15.2,15.19,15.2,15.18,922754.0625,60717,86
2021-05-05 12:00:00,15.37,15.37,15.37,15.37,1537,100,1
2021-05-06 09:30:00,15.5,15.48,15.5,15.48,1030613.1875,66519,53
2021-05-06 12:00:00,15.57,15.575,15.58,15.57,159286.4375,10230,24
2021-05-07 09:30:00,15.54,15.54,15.555,15.52,1140415.5,73435,75
2021-05-07 12:00:00,15.665,15.665,15.6665,15.66,14990.8105,957,6
2021-05-10 09:30:00,15.53,15.54,15.56,15.53,2288929.5,147177,138
2021-05-10 12:00:00,15.605,15.605,15.61,15.6,28124.7109,1802,9
2021-05-11 09:30:00,15.14,15.12,15.16,15.11,1746929.625,115419,182
2021-05-11 12:00:00,15.125,15.11,15.125,15.11,101933.0391,6742,14
2021-05-12 09:30:00,15.2,15.21,15.21,15.18,919811.3125,60516,28
2021-05-12 12:00:00,15.105,15.105,15.105,15.105,1646.4449,109,1
2021-05-13 09:30:00,14.96,14.97,14.98,14.94,565633.375,37816,67
2021-05-13 12:00:00,15.175,15.18,15.185,15.175,192938.9688,12710,33
2021-05-14 09:30:00,15.38,15.38,15.4,15.37,518142.5,33657,25
2021-05-14 12:00:00,15.43,15.425,15.43,15.425,79833.8203,5174,12
2021-05-17 09:30:00,15.53,15.565,15.57,15.53,1998310.5,128612,246
2021-05-17 12:00:00,15.513,15.513,15.513,15.513,4653.8999,300,1
2021-05-18 09:30:00,15.65,15.66,15.66,15.65,899455.625,57473,17
2021-05-18 12:00:00,15.62,15.615,15.62,15.615,61682.6328,3949,15
2021-05-19 09:30:00,15.4,15.35,15.4,15.35,1152356.25,74902,104
